Tag,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000165312,-1.98305633195674,2.75103791789062,-23.1026526791025,8.25262286973314e-85,5.72932448000602e-81,182.542254607698
ENSG00000144120,1.67155074417137,1.94624123054743,22.0531077509469,2.97414269444556e-79,7.60707434326164e-76,169.830027787101
ENSG00000059573,1.66444124472795,4.69328717926616,21.8275280099416,4.62147015565774e-78,9.76476457193475e-75,167.104292558381
ENSG00000096063,1.62809905056962,3.57112967143293,19.7476210216688,3.7076393576303e-67,2.81531484160562e-64,142.156446878594
ENSG00000164466,1.55294630067823,2.48788335173982,19.7258331803878,4.8119022543809104e-67,3.54309111903257e-64,141.897414577643
ENSG00000128050,1.84128720540622,3.85012978157073,19.5869675628727,2.53113828655384e-66,1.73247503255855e-63,140.247859508863
ENSG00000180198,1.73890403336663,3.83159276380219,19.1336997601546,5.61018916713861e-64,3.02931514394928e-61,134.881356866247
ENSG00000121691,-1.93742246451713,4.87780719698066,-19.0527781922365,1.4669892776546901e-63,7.4261747839776e-61,133.926313806934
ENSG00000158435,1.19717506962546,4.70640247947172,18.2957787119584,1.12208419724873e-59,3.86737061941112e-57,125.041706851582
ENSG00000128059,1.90171009903113,1.66875540065753,18.1315332109752,7.71075615028827e-59,2.38674915054496e-56,123.126808422932
ENSG00000120913,-1.98279785912471,0.901623244346672,-18.1089585912907,1.00457403394051e-58,2.96108732909395e-56,122.863998696527
ENSG00000035141,1.24179886217379,3.82876348066097,18.0996229230213,1.12067689908397e-58,3.26116977633436e-56,122.755341890593
ENSG00000135363,-1.89413354599951,1.91999532958736,-17.7372594426208,7.71982963070316e-57,1.8664704505635902e-54,118.55057503274
ENSG00000278259,1.68053950299249,1.699790906618,17.6548896011829,2.01319925269952e-56,4.68112172648031e-54,117.59835624057
ENSG00000123213,1.49834966326557,1.66255397764115,17.6411836649753,2.36100019933099e-56,5.43779747331223e-54,117.440044490067
ENSG00000125459,1.49009309501893,1.70103495748165,17.5274306337472,8.848282840468049e-56,1.9026548725585201e-53,116.1276120275
ENSG00000171132,-1.76556321063216,0.930953094792791,-17.4338047771561,2.61956179936036e-55,5.37142804909348e-53,115.049413999536
ENSG00000138363,1.27614128008891,4.50183459510508,17.2957784772775,1.2932007628418001e-54,2.5547023362529603e-52,113.463296782948
ENSG00000143633,1.10089940087383,1.24294222431209,17.1753260902905,5.19214408662266e-54,9.933961660535491e-52,112.082514925862
ENSG00000123178,-1.21482225909776,2.14629326859166,-17.1197591117904,9.84841101016317e-54,1.86226937689066e-51,111.446619787203
ENSG00000197256,-1.57319059317468,3.52854372305277,-17.0460181222039,2.30064928484153e-53,4.30017897290168e-51,110.603821387585
ENSG00000170417,1.57198302489421,0.590183879094733,16.9937745944811,4.1935960958480205e-53,7.60433542798231e-51,110.007472397828
ENSG00000155660,1.72402077395879,6.90940190486927,16.9872145612642,4.52175571965512e-53,8.13865787807704e-51,109.932635386443
ENSG00000103550,1.22925299708842,1.24122870288568,16.9290515743062,8.8150906188708e-53,1.55212666233791e-50,109.26954721045
ENSG00000183605,1.40813745661643,3.59355641106706,16.677541295435,1.56646608239234e-51,2.6250190415869097e-49,106.411413102594
ENSG00000162757,1.26971215452025,0.267981946421506,16.6298495904603,2.69862867037683e-51,4.47594735475436e-49,105.871175856307
ENSG00000000460,1.72344233537932,0.419822795228945,16.4680234625985,1.70161484123775e-50,2.66752827224616e-48,104.042276332651
ENSG00000126785,-1.85897504605569,1.52307573774236,-16.394327748478,3.92738637458709e-50,5.96434986393153e-48,103.211590970537
ENSG00000006625,1.64092936610706,4.77489100345702,16.3809577656386,4.57023929827042e-50,6.89751301795179e-48,103.061036356356
ENSG00000090447,1.37824059230415,0.800302970478526,16.3654371840951,5.44927834698982e-50,8.19871764175432e-48,102.886322564927
ENSG00000115306,-1.68071795055988,4.5014187169005,-16.1910699585555,3.9155204660039396e-49,5.53146942111608e-47,100.927817182517
ENSG00000160688,1.39785067018036,3.55519530035329,16.1556514464924,5.838901967548809e-49,8.15482337923219e-47,100.530978699433
ENSG00000159259,1.8524329815437,1.03740623431237,16.1556405925122,5.83961671702534e-49,8.15482337923219e-47,100.530857140132
ENSG00000144843,-1.59908723673974,1.79488013275552,-16.0934640020984,1.1767402146168099e-48,1.6200012524003701e-46,99.8350312813136
ENSG00000126602,1.19417634066707,3.40001774026279,16.0889718635644,1.2377925989899e-48,1.69445089952428e-46,99.7847997736721
ENSG00000117758,-0.910144506147429,4.16596825804272,-16.0474379757123,1.97534400533745e-48,2.66654979520511e-46,99.3206245653536
ENSG00000108773,1.69312281871005,3.90061459393164,16.0353587234205,2.26277424877662e-48,3.02099011449993e-46,99.1857175943045
ENSG00000109501,-1.7243657720733,3.74841727842751,-15.9407836197833,6.5459352988107e-48,8.52849377255505e-46,98.1308480013787
ENSG00000260920,1.78779212138599,0.102909925446176,15.9284642926052,7.51597772601511e-48,9.71793333052438e-46,97.9936238399088
ENSG00000110660,1.88049054499001,3.19415173225671,15.9168985738245,8.55679961750337e-48,1.09718942219475e-45,97.864832691365
ENSG00000161281,-1.87269809764678,2.24768992153539,-15.9059962694347,9.66922219526315e-48,1.23332071134699e-45,97.7434633681223
ENSG00000087074,-1.7092442156983,4.77369447165058,-15.9037815081352,9.9122629494063e-48,1.2577186489616101e-45,97.71881173091
ENSG00000070614,-1.50754462848531,3.46476126639631,-15.9015112890699,1.01677166430649e-47,1.28342993689097e-45,97.6935442445835
ENSG00000114686,1.10445483938045,4.96147731643734,15.8805779792055,1.28555260280298e-47,1.61431524130275e-45,97.4606252751358
ENSG00000067177,1.64297013533635,1.73997226571401,15.8730960940663,1.39793034587549e-47,1.75090775820905e-45,97.3774064151257
ENSG00000163938,1.16385407639704,4.52047202392227,15.8583325905052,1.64923546193424e-47,2.04981830546338e-45,97.213242571597
ENSG00000185291,-1.67138359295096,2.67388636339539,-15.820041422558,2.531477280577e-47,3.08326319308773e-45,96.7877489621169
ENSG00000111961,-1.78697665860575,1.87186455284073,-15.7918549480539,3.46930420597614e-47,4.18356765503282e-45,96.4748059364904
ENSG00000136261,1.35610889006692,4.52885683778625,15.7473265168746,5.70510965326163e-47,6.79776675506672e-45,95.980888443504
ENSG00000163468,1.34659121559786,6.16495441796889,15.7472949680918,5.70711944372538e-47,6.79776675506672e-45,95.9805387007745
ENSG00000112242,1.45243948761288,2.33998781652991,15.7367353129679,6.42109396718909e-47,7.61087569569484e-45,95.8634928630036
ENSG00000231890,1.8500753421749,-1.7563176021219,15.7270232698831,7.15615402608395e-47,8.46149920208276e-45,95.7558705946651
ENSG00000141562,1.27636835098425,3.03723813000557,15.7118973158282,8.471612199823871e-47,9.94432217572078e-45,95.5883093938515
ENSG00000032444,-1.46016142030199,3.30733989550937,-15.6828429294497,1.17126809123268e-46,1.36172524951279e-44,95.2666390761323
ENSG00000101811,1.13698077738141,3.21346950230432,15.6522137626962,1.6476201214511501e-46,1.9064141676705201e-44,94.9278002318674
ENSG00000131634,-1.75280536083338,3.05957931935565,-15.6011661368161,2.9079680777729502e-46,3.33298407253614e-44,94.3636909769739
ENSG00000145050,1.38033773472687,5.13337060699852,15.5990572339887,2.97697804915406e-46,3.40405181775858e-44,94.3404027484506
ENSG00000162851,1.2289820805192,3.55138302978033,15.5760635951416,3.84412951009008e-46,4.36479350004317e-44,94.0865735638055
ENSG00000187688,-1.90903146311555,2.86836642194949,-15.5413953708717,5.6501738921065e-46,6.341374148607381e-44,93.7041640346038
ENSG00000173715,1.46966612105492,2.422200196119,15.5384462497805,5.8382583429807105e-46,6.537369601240399e-44,93.6716501274996
ENSG00000105339,-1.71051150631544,1.67923577396237,-15.5219822289129,7.0090128842151e-46,7.81231649390369e-44,93.4901828756647
ENSG00000146072,1.92032370302157,5.4444159035112,15.5079027369085,8.19420348192228e-46,9.09163713723692e-44,93.3350623480824
ENSG00000080546,-1.6413594683271,1.96554377715499,-15.5035569518617,8.59892482035249e-46,9.49731703396977e-44,93.2871947471806
ENSG00000144591,1.07458654163918,3.22944364062817,15.5015643140871,8.79110757396568e-46,9.68756133269864e-44,93.2652482971732
ENSG00000162063,1.85364042642817,1.28705763588212,15.4769386743443,1.15513824805434e-45,1.2586603910470098e-43,92.9941257324713
ENSG00000111897,-1.09165631363798,5.98693780890945,-15.3956341113845,2.84192376704302e-45,3.0154796791919097e-43,92.1002834340994
ENSG00000163882,1.20460725392278,3.89434168576504,15.3839680422291,3.2332637325336005e-45,3.40839300672311e-43,91.9721945609391
ENSG00000206053,1.17635111855473,4.98660011715416,15.3753522862198,3.55638310435847e-45,3.7408993446430395e-43,91.8776236635311
ENSG00000126953,1.24595744047105,1.40247405274885,15.3701626909039,3.76635240159906e-45,3.95320578100452e-43,91.820671014252
ENSG00000183763,1.76954732603393,0.34705544542226,15.3601749984223,4.20587513525033e-45,4.37672192607623e-43,91.7110854198706
ENSG00000141570,1.40131340995462,1.4155815000187,15.3591335931463,4.2545515060332603e-45,4.41791537475852e-43,91.6996608184589
ENSG00000183722,-1.6772589882693,3.60741129710174,-15.3456349257123,4.93875023175681e-45,5.08492468247216e-43,91.5516056094902
ENSG00000159147,1.50478777416086,1.91126343615264,15.3198594238055,6.564690335355601e-45,6.7021902568755494e-43,91.2690523655773
ENSG00000136732,-1.82312407043491,2.51726857093553,-15.3180787553106,6.694983824281181e-45,6.82088320563087e-43,91.2495401016371
ENSG00000169241,1.69800519665966,5.22150143261966,15.3113796379278,7.20869502849617e-45,7.31358981836802e-43,91.176141093723
ENSG00000086232,1.04060429836258,5.3469669024764,15.2657967051431,1.19169241170499e-44,1.1891719944892698e-42,90.6770804880429
ENSG00000130826,1.16099997477006,4.03490858819542,15.2308525032461,1.7511808094394601e-44,1.7367782407414197e-42,90.2949355882606
ENSG00000175130,1.93714997826317,6.53951374192183,15.2215502584107,1.94000767215919e-44,1.9201334591429698e-42,90.1932719898951
