Tag,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000183010,3.65293111153984,4.76892715893564,25.9872838075867,4.06921643267322e-100,1.9775171097862e-95,217.552258509663
ENSG00000162062,3.42434164681397,0.487739475805338,21.8418252001361,3.88424029459154e-78,8.58011025437569e-75,167.276963704544
ENSG00000147689,6.2149452785133,-inf,21.497969735953,2.7100142578134202e-76,5.48744012028995e-73,163.054956765405
ENSG00000183856,3.51762611973488,1.49472639178962,20.7670784249766,1.76041808968224e-72,2.5162069971849397e-69,154.336054611603
ENSG00000128165,3.45765643594929,1.30361520438747,20.6036377655234,1.26535184792517e-71,1.5373075938404901e-68,152.376243623598
ENSG00000135052,2.53724143130233,5.69959627872307,20.4852948096897,5.26938604423663e-71,5.95526403701785e-68,150.958772374822
ENSG00000186193,3.5423406191484,1.32959957420659,20.3816400055123,1.83619101791077e-70,1.93985597603065e-67,149.718364319608
ENSG00000077152,3.14263804283154,3.49632026003942,20.2418743934992,9.867096180774949e-70,9.78594434892082e-67,148.047570191966
ENSG00000158402,3.56202102907156,-0.214204061531751,20.0794922560271,6.94205142824863e-69,6.13387042288362e-66,146.109032305719
ENSG00000131747,3.6464609958785,3.43206645081963,19.8483975365383,1.1094021434673602e-67,8.98560266101385e-65,143.355318277937
ENSG00000258947,4.63355914898238,-inf,19.838982963408,1.3121469055270501e-67,1.04535087160488e-64,143.186347872587
ENSG00000129173,3.23386914252937,0.289157422691096,19.7303507202387,4.5587287376048905e-67,3.40831600709823e-64,141.951118094638
ENSG00000175832,3.58656641515576,2.97001335888199,19.6605275754559,1.05079907737962e-66,7.50965922991435e-64,141.12135999803
ENSG00000115507,3.72027224504087,-inf,19.6250945099376,1.69295032189185e-66,1.192352272362e-63,140.645506989881
ENSG00000179913,4.32910444041997,3.32479068365771,19.577669003127,2.82850159868735e-66,1.90912072488068e-63,140.137491521972
ENSG00000121211,2.88729271435679,0.542078573478513,19.5604402812701,3.47476550395629e-66,2.31319423555841e-63,139.933027063294
ENSG00000123500,4.77737026524047,2.73039929761825,19.48485162627,8.56684793330815e-66,5.55097478686635e-63,139.036424418506
ENSG00000276043,3.26610117249056,0.919396209359371,19.4358002158717,1.53800061445675e-65,9.46103998237398e-63,138.454999480483
ENSG00000091651,2.9426371686342,0.242340465080841,19.2987465965681,7.87557155465442e-65,4.5562994147802494e-62,136.832173554966
ENSG00000112984,3.07745168891814,1.66285405351906,19.1872015061149,2.96996594216333e-64,1.6589820102449602e-61,135.513311108678
ENSG00000164932,3.84346074262417,4.42831816494305,19.1463377603348,4.82774705093289e-64,2.66606844811574e-61,135.030597740457
ENSG00000156970,3.25888528510813,1.04257438792328,19.138614033148,5.29191569252392e-64,2.88956434729871e-61,134.939386276629
ENSG00000243364,2.16617508293836,3.62664778968943,19.0985292043204,8.52045388346144e-64,4.50074453668017e-61,134.466153344604
ENSG00000186871,3.09299812822027,-0.54170295606907,19.0869663798996,9.77488070206281e-64,5.10784814492631e-61,134.329688649493
ENSG00000090889,3.62984580541544,1.28440755108945,19.0144194440033,2.3129242266960502e-63,1.1273535794463e-60,133.473937718927
ENSG00000123485,3.67185980789693,1.16794783865822,18.9808780905917,3.44337742220335e-63,1.62463895715356e-60,133.078554502908
ENSG00000164855,3.03121790528264,1.927490329765,18.9786291458505,3.53646841617081e-63,1.65251688096782e-60,133.05205013498
ENSG00000143590,2.79733103578097,0.984544542263046,18.8913943813347,9.9469872116506e-63,4.51769848153817e-60,132.024558763027
ENSG00000166851,3.07574956585694,1.77155476940675,18.8191146926027,2.34117264110351e-62,1.04379786091475e-59,131.174100880465
ENSG00000239672,2.21163557516954,3.77833303286592,18.7999620858339,2.9368244625735498e-62,1.28577349916835e-59,130.948883788779
ENSG00000173457,2.07970280504914,5.48465640420733,18.788585020531,3.3600391666485297e-62,1.44502498567804e-59,130.815127226213
ENSG00000117399,3.61696459984554,3.21800109735263,18.7814846678964,3.65450297071645e-62,1.5578761479641e-59,130.731660963093
ENSG00000117650,3.54663064075642,1.4975525077101,18.7566424831327,4.9028487281739005e-62,2.05399775554368e-59,130.439698174712
ENSG00000256940,3.32942937838418,-inf,18.7624229617058,5.27073187629161e-62,2.17069285586562e-59,130.363929722141
ENSG00000126787,3.51355352987227,1.35193176205682,18.5709697796972,4.3946825598682806e-61,1.69498720922158e-58,128.26068707683
ENSG00000175643,2.32005442258837,2.08955703710041,18.5428676840144,6.121729705697921e-61,2.3242007695922e-58,127.931379951528
ENSG00000061656,2.73889828820793,2.2395150453985,18.4939678260349,1.08947161335086e-60,4.10426759643503e-58,127.358674615387
ENSG00000076382,2.90619212653125,1.88861127721049,18.4051214099956,3.1017962946396904e-60,1.14195450401974e-57,126.319160009656
ENSG00000176920,3.15502852421599,2.07568127694722,18.3297290055827,7.52902337807814e-60,2.69035256694458e-57,125.4381251996
ENSG00000118193,3.51029617884194,-0.363179696856791,18.3222914492339,8.21690832192869e-60,2.8936021284113696e-57,125.35126372781
ENSG00000106462,2.47252456203412,1.7517150279514,18.290764935105,1.19016988901428e-59,4.07314690819909e-57,124.983181037642
ENSG00000137135,2.35509649932803,-0.28750266471302,18.269602702474,1.52605785709825e-59,5.15012733898637e-57,124.736203351915
ENSG00000142945,3.34143118582969,1.8771032273239,18.2555787856948,1.79927246305077e-59,5.98898930732043e-57,124.572578496482
ENSG00000141934,2.81114743977712,3.15978359020101,18.25206735392,1.8750111219324301e-59,6.19863370697621e-57,124.531614147595
ENSG00000134690,2.89164491955526,2.34463230886615,18.2485188567358,1.95478416692107e-59,6.418692308098869e-57,124.490219628197
ENSG00000196584,3.03442018855031,-0.162444388843145,18.2265640054964,2.5294853980625503e-59,8.19502679264306e-57,124.234158293492
ENSG00000248243,3.67272745344908,-inf,18.2493618231607,3.12789023905809e-59,1.0000400128125399e-56,124.011570441549
ENSG00000165480,3.10523549742758,0.51310079782696,18.2059895890713,3.22027954255016e-59,1.02284918254451e-56,123.994275565866
ENSG00000145247,2.09009982053048,5.1143109592397,18.1382907293079,7.12359560211642e-59,2.23345403532937e-56,123.205496429282
ENSG00000143228,3.42610284664461,1.07697697091246,18.1365976516795,7.26637571010146e-59,2.26361577169103e-56,123.185780581146
ENSG00000254726,3.78070080629056,1.26875734531651,18.1248226825989,8.34164875875196e-59,2.5495541177928898e-56,123.048675868887
ENSG00000035499,3.37687136289296,0.206786280798969,18.1242089752932,8.40185803067219e-59,2.5519068419786e-56,123.041530715595
ENSG00000099953,4.98209199338749,2.3758456479437,18.1212252039984,8.70083035579708e-59,2.62629970683646e-56,123.006792822302
ENSG00000111344,3.8977472858793,0.13233066364443,18.1100022751774,9.92364933939164e-59,2.9586477726773996e-56,122.876147014949
ENSG00000162849,3.10741186100508,1.07009491990683,18.0939122401352,1.1982076206606999e-58,3.46602950840762e-56,122.688883809007
ENSG00000227036,3.212195634561,0.817491071256515,18.0570581677028,1.84482392098575e-58,5.21237837721771e-56,122.260139654165
ENSG00000123473,2.45866937502247,0.395457840797774,18.0446939488618,2.1321076597752302e-58,5.95482965184466e-56,122.116356283279
ENSG00000187583,2.97927999515073,0.778798361681795,18.0303844550961,2.52079082358143e-58,7.00016409449067e-56,121.949986956881
ENSG00000129810,3.13879365924858,-0.437167839070488,17.9778448867692,4.66041986825905e-58,1.27237317043699e-55,121.339465370758
ENSG00000094804,3.16236395708069,1.3412083157928,17.9720840432546,4.9851128171280605e-58,1.3534163551618598e-55,121.272554766523
ENSG00000174371,3.30668831264437,0.397682995523459,17.9609565612935,5.67761098724567e-58,1.5243914980507098e-55,121.143329961303
ENSG00000204949,5.35457516021721,-inf,18.0246816579911,7.195699222163811e-58,1.9108710114726498e-55,120.877880397916
ENSG00000101003,2.83488941130867,1.30321220297225,17.9332567439206,7.84773506136699e-58,2.0726977216155e-55,120.821750915425
ENSG00000011426,3.45875636562455,2.09456829608045,17.8391280819999,2.3549256934611997e-57,5.9917447081222005e-55,119.730072182141
ENSG00000255624,3.4504437723246,-inf,17.81190709465,4.1197666151583696e-57,1.02670922152231e-54,119.174298207564
ENSG00000245614,2.4538752687967,-2.11667744456794,17.7779187973407,4.8073728446608e-57,1.19195866393868e-54,119.021108377974
ENSG00000066279,3.43324483302915,0.191092474853989,17.7660076585395,5.52309106709328e-57,1.34877214365594e-54,118.883231916174
ENSG00000157456,2.88341184698076,2.17678176773237,17.7502822901546,6.63344676284083e-57,1.61182806166888e-54,118.701247172996
ENSG00000205213,2.6055814347272,2.99295826692549,17.6636793722307,1.8175794381446499e-56,4.2670970026819104e-54,117.699903384257
ENSG00000186185,3.55143966248596,0.578470273270351,17.660637314054,1.8830345878135398e-56,4.39951114730646e-54,117.664757090848
ENSG00000075218,3.03756796806275,0.672767833341552,17.6359575628174,2.5088882000224997e-56,5.7511528234195e-54,117.379689933645
ENSG00000135451,3.51180539919869,0.890873274199613,17.6342318664019,2.5597254764485396e-56,5.8401398581676e-54,117.359761645966
ENSG00000024526,3.56220946811067,-0.0156908945809616,17.6259146808365,2.8195419146803597e-56,6.4028634779309e-54,117.263723551247
ENSG00000166803,2.72171711731742,1.5993350965026,17.6158661286341,3.1688049845672297e-56,7.1625309690704e-54,117.147712267884
ENSG00000111665,2.95343943088827,0.299855403558045,17.5904977227173,4.254954352964829e-56,9.441918570366751e-54,116.854923976479
ENSG00000171877,3.7156424103381,-0.599643680759734,17.5823288730575,4.6784249587414e-56,1.0287665960179001e-53,116.760671661466
ENSG00000089685,3.48030731584987,2.52484623249388,17.5545520727433,6.458995939687879e-56,1.41390912468924e-53,116.440285299812
ENSG00000178999,3.3347706209188,1.79290242989926,17.5450862854551,7.20909514164603e-56,1.57103316860346e-53,116.331140334527
ENSG00000173898,2.50915130646472,2.12147346505441,17.5204762372555,9.591775244063349e-56,2.05344273804294e-53,116.047461907284
ENSG00000138180,3.07457732931938,2.10280148668413,17.5175319169029,9.925051122704889e-56,2.11547240969338e-53,116.01353135218
ENSG00000085999,3.07803493709551,0.244802972676966,17.4982071794547,1.2418614093458399e-55,2.62394516999912e-53,115.790876598004
ENSG00000165304,3.38352710871697,1.51197755253339,17.4754917914629,1.6160293642643598e-55,3.35616149637415e-53,115.529255518489
ENSG00000179967,2.04860984259998,4.67370624804838,17.417737963604,3.1552831762020898e-55,6.44274355100391e-53,114.864573872009
ENSG00000117724,3.20730585488484,1.42944728074277,17.393781588886,4.16375573152773e-55,8.46636139268005e-53,114.589070508824
ENSG00000085552,3.29894504252174,1.3302830754379,17.3187764980241,9.91398912893314e-55,1.9745497118801802e-52,113.727291522104
ENSG00000134057,2.73647289847131,3.3742075801816,17.2923003813083,1.3462221615154e-54,2.6486784770511703e-52,113.423381664001
ENSG00000122952,2.490239377117,3.19187006731559,17.2873115096828,1.4260856133607302e-54,2.7944952642133603e-52,113.366133273976
ENSG00000171848,3.08866490285366,2.6731665976586,17.2277907949853,2.83514599873349e-54,5.5111836040180604e-52,112.683540371642
ENSG00000088325,3.34660339931173,3.10559647324296,17.2105590495307,3.4586798147044103e-54,6.69647262769683e-52,112.486069550628
ENSG00000249859,2.59797513760764,0.862577552754861,17.1905970633379,4.35400398328418e-54,8.396489348240521e-52,112.257393179092
ENSG00000049283,3.26279793544397,-inf,17.1402699982353,8.05834433711487e-54,1.53573082255204e-51,111.646201053367
