ensembl,logFC,adj.P.Val,GeneID,Symbol,Group,Disease_BreastCancer_NlogP,Disease_BreastCancer_Score,Disease_BreastCancer_Causing,Disease_ChronicInterstitialCystitis_NlogP,Disease_ChronicInterstitialCystitis_Score,Disease_ChronicInterstitialCystitis_Causing,Disease_ColorectalCancer_NlogP,Disease_ColorectalCancer_Score,Disease_ColorectalCancer_Causing,Disease_DengueDisease_NlogP,Disease_DengueDisease_Score,Disease_DengueDisease_Causing,Disease_DengueHemorrhagicFever_NlogP,Disease_DengueHemorrhagicFever_Score,Disease_DengueHemorrhagicFever_Causing,Disease_DiseasofMentalHealth_NlogP,Disease_DiseasofMentalHealth_Score,Disease_DiseasofMentalHealth_Causing,Disease_HepatosplenicT-CellLymphoma_NlogP,Disease_HepatosplenicT-CellLymphoma_Score,Disease_HepatosplenicT-CellLymphoma_Causing,Disease_LungCancer_NlogP,Disease_LungCancer_Score,Disease_LungCancer_Causing,Disease_LungCancerSusceptibility3_NlogP,Disease_LungCancerSusceptibility3_Score,Disease_LungCancerSusceptibility3_Causing,Disease_ProstateCancer_NlogP,Disease_ProstateCancer_Score,Disease_ProstateCancer_Causing,GO_AntigenBinding_NlogP,GO_AntigenBinding_Score,GO_AntigenBinding_Causing,GO_ComplementActivation_NlogP,GO_ComplementActivation_Score,GO_ComplementActivation_Causing,GO_ComplementActivationClassicalPathway_NlogP,GO_ComplementActivationClassicalPathway_Score,GO_ComplementActivationClassicalPathway_Causing,GO_ExtracellularRegion_NlogP,GO_ExtracellularRegion_Score,GO_ExtracellularRegion_Causing,GO_ExtracellularSpace_NlogP,GO_ExtracellularSpace_Score,GO_ExtracellularSpace_Causing,GO_ImmunoglobulinComplex_NlogP,GO_ImmunoglobulinComplex_Score,GO_ImmunoglobulinComplex_Causing,GO_LeukocyteMigration_NlogP,GO_LeukocyteMigration_Score,GO_LeukocyteMigration_Causing,GO_Opsonization_NlogP,GO_Opsonization_Score,GO_Opsonization_Causing,GO_PeptideCross-linking_NlogP,GO_PeptideCross-linking_Score,GO_PeptideCross-linking_Causing,GO_RegulationofComplementActivation_NlogP,GO_RegulationofComplementActivation_Score,GO_RegulationofComplementActivation_Causing,Path_APCinCellCycleRegulation_NlogP,Path_APCinCellCycleRegulation_Score,Path_APCinCellCycleRegulation_Causing,Path_AuroraBSignaling_NlogP,Path_AuroraBSignaling_Score,Path_AuroraBSignaling_Causing,Path_BindingandUptakeofLigandsByScavengerReceptors_NlogP,Path_BindingandUptakeofLigandsByScavengerReceptors_Score,Path_BindingandUptakeofLigandsByScavengerReceptors_Causing,Path_CellCycleMitotic_NlogP,Path_CellCycleMitotic_Score,Path_CellCycleMitotic_Causing,Path_CollagenFormation_NlogP,Path_CollagenFormation_Score,Path_CollagenFormation_Causing,Path_DegenerationofTheExtracellularMatrix_NlogP,Path_DegenerationofTheExtracellularMatrix_Score,Path_DegenerationofTheExtracellularMatrix_Causing,Path_MatrixMetalloproteinases_NlogP,Path_MatrixMetalloproteinases_Score,Path_MatrixMetalloproteinases_Causing,Path_MitoticPrometaphase_NlogP,Path_MitoticPrometaphase_Score,Path_MitoticPrometaphase_Causing,Path_O2CO2ExchangeinErythrocytes_NlogP,Path_O2CO2ExchangeinErythrocytes_Score,Path_O2CO2ExchangeinErythrocytes_Causing,Path_PLK1SignalingEvents_NlogP,Path_PLK1SignalingEvents_Score,Path_PLK1SignalingEvents_Causing,System_CardiovascularSystem_NlogP,System_CardiovascularSystem_Score,System_CardiovascularSystem_Causing,System_ExtraembryonicTissues_NlogP,System_ExtraembryonicTissues_Score,System_ExtraembryonicTissues_Causing,System_GastrointestinalTract_NlogP,System_GastrointestinalTract_Score,System_GastrointestinalTract_Causing,System_HematopoieticSystem_NlogP,System_HematopoieticSystem_Score,System_HematopoieticSystem_Causing,System_IntegumentarySystem_NlogP,System_IntegumentarySystem_Score,System_IntegumentarySystem_Causing,System_MuscoskeletalSystem_NlogP,System_MuscoskeletalSystem_Score,System_MuscoskeletalSystem_Causing,System_NervousSystem_NlogP,System_NervousSystem_Score,System_NervousSystem_Causing,System_ReproductiveSystem_NlogP,System_ReproductiveSystem_Score,System_ReproductiveSystem_Causing,System_RespiratorySystem_NlogP,System_RespiratorySystem_Score,System_RespiratorySystem_Causing,System_SensoryOrgans_NlogP,System_SensoryOrgans_Score,System_SensoryOrgans_Causing,Tissue_Blood_NlogP,Tissue_Blood_Score,Tissue_Blood_Causing,Tissue_Bone_NlogP,Tissue_Bone_Score,Tissue_Bone_Causing,Tissue_Brain_NlogP,Tissue_Brain_Score,Tissue_Brain_Causing,Tissue_Cartilage_NlogP,Tissue_Cartilage_Score,Tissue_Cartilage_Causing,Tissue_Endothelium_NlogP,Tissue_Endothelium_Score,Tissue_Endothelium_Causing,Tissue_Epithelial_NlogP,Tissue_Epithelial_Score,Tissue_Epithelial_Causing,Tissue_Eye_NlogP,Tissue_Eye_Score,Tissue_Eye_Causing,Tissue_Kidney_NlogP,Tissue_Kidney_Score,Tissue_Kidney_Causing,Tissue_Lung_NlogP,Tissue_Lung_Score,Tissue_Lung_Causing,Tissue_NeuralTube_NlogP,Tissue_NeuralTube_Score,Tissue_NeuralTube_Causing
ENSG00000183010,3.65293111153984,1.9775171097862e-95,5831,PYCR1,P,0.584019447833735,0.79,0.733848810195923,,,,0.960328646387348,1.0,0.733848810195923,,,,,,,,,,,,,0.9395464926407,0.9,0.733848810195923,,,,0.946865816221582,0.9,0.733848810195923,,,,,,,,,,,,,0.981339292170849,0.3,0.733848810195923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10157413966615,1.38,0.733848810195923,,,,1.05049332439005,1.32,0.733848810195923,,,,,,,1.38552115953985,0.54,0.733848810195923,0.907848769616906,3.65,0.733848810195923,0.87002578598886,0.63,0.733848810195923,,,,,,,0.813202869278025,2.98,0.733848810195923,1.66085526343606,9.64,0.733848810195923,0.458297492831189,2.15,0.733848810195923,0.7837714893983,0.22,0.733848810195923,,,,0.223725491606208,0.73,0.733848810195923,1.45585899972124,5.75,0.733848810195923,0.264727943056986,0.69,0.733848810195923,1.0762966852606,4.12,0.733848810195923,0.891897163610505,0.52,0.733848810195923
ENSG00000162062,3.42434164681397,8.58011025437569e-75,80178,TEDC2,P,,,,,,,,,,,,,,,,,,,,,,0.563539994089892,0.1,0.716524183750153,,,,,,,,,,,,,,,,,,,0.940436136820498,0.21,0.716524183750153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313989813925691,0.42,0.716524183750153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000147689,6.2149452785133,5.48744012028995e-73,84985,FAM83A,P,0.768520818418953,1.11,0.140032470226288,,,,,,,,,,,,,,,,,,,1.20860345973639,1.54,0.140032470226288,,,,,,,,,,,,,,,,,,,0.940436136820498,0.21,0.140032470226288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7217753759689,0.46,0.140032470226288,,,,0.753401445671311,0.49,0.140032470226288,,,,,,,,,,,,,,,,,,,,,,0.124088345731727,0.54,0.140032470226288,0.467690682161124,0.77,0.140032470226288,,,,,,,,,,0.688208769742516,1.58,0.140032470226288,0.282956789853949,0.29,0.140032470226288,,,,0.779447042041569,2.51,0.140032470226288,,,
ENSG00000183856,3.51762611973488,2.51620699718494e-69,128239,IQGAP3,P,0.804759054476268,1.19,0.287367433309555,,,,0.962978217208193,1.01,0.287367433309555,,,,,,,,,,,,,1.29010271462154,1.86,0.287367433309555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23968866281953,0.44,0.287367433309555,0.179003676549119,0.16,0.287367433309555,0.559940505072571,0.3,0.287367433309555,,,,,,,0.387344884037302,1.21,0.287367433309555,0.608128863881242,1.21,0.287367433309555,0.455518700675084,2.15,0.287367433309555,,,,,,,0.70316116037156,1.62,0.287367433309555,0.531765022524258,0.74,0.287367433309555,0.427708710135069,1.01,0.287367433309555,0.652515070419952,2.07,0.287367433309555,0.792657352622571,0.28,0.287367433309555
ENSG00000128165,3.45765643594929,1.53730759384049e-68,79924,ADM2,P,0.368885708021448,0.14,0.205044403672218,,,,0.500375416804699,0.19,0.205044403672218,,,,,,,,,,,,,,,,,,,0.599310745850305,0.15,0.205044403672218,,,,,,,,,,1.84441759415332,0.52,0.205044403672218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992405770481458,1.18,0.205044403672218,,,,0.595940447375427,0.33,0.205044403672218,0.830945478073071,0.41,0.205044403672218,,,,,,,0.63219349288124,1.83,0.205044403672218,0.76962118507946,0.45,0.205044403672218,0.831869263546405,0.52,0.205044403672218,,,,0.66155756353289,2.24,0.205044403672218,0.807482595835994,2.08,0.205044403672218,0.302394094098062,1.58,0.205044403672218,,,,1.21498006524693,0.87,0.205044403672218,,,,0.279087409011761,0.27,0.205044403672218,1.01190868144708,3.06,0.205044403672218,0.377570278845468,1.27,0.205044403672218,,,
ENSG00000135052,2.53724143130233,5.95526403701785e-68,51280,GOLM1,P,0.472010056894365,0.6,0.244432598352432,,,,,,,,,,,,,,,,,,,0.822266151444614,0.79,0.244432598352432,,,,1.45295076687656,2.28,0.244432598352432,,,,,,,,,,,,,1.58980661923413,0.87,0.244432598352432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37248319783924,0.51,0.244432598352432,,,,,,,,,,0.648783275496461,0.43,0.244432598352432,,,,1.14640051281487,1.61,0.244432598352432,,,,,,,,,,0.547331954184189,1.34,0.244432598352432,0.643806930110733,0.43,0.244432598352432,,,,,,,0.79350310650603,2.87,0.244432598352432,0.644932921101612,1.35,0.244432598352432,0.259281489911134,1.44,0.244432598352432,0.738138189425232,0.14,0.244432598352432,,,,1.12704351456133,3.04,0.244432598352432,0.547512097075913,0.8,0.244432598352432,0.741317108330078,1.85,0.244432598352432,0.589740420852491,1.87,0.244432598352432,,,
ENSG00000186193,3.5423406191484,1.93985597603065e-67,89958,SAPCD2,P,0.450926529692879,0.57,0.0,,,,1.29143286721389,2.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.940436136820498,0.21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00085205929215,0.31,0.0,0.459865344649167,0.96,0.0,,,,,,,,,,0.236126076670596,0.78,0.0,0.3276740015223,0.45,0.0,0.568932689056057,2.61,0.0,,,,,,,0.403508512088098,1.01,0.0,,,,0.154901959985743,0.51,0.0,0.276183713225626,1.03,0.0,,,
ENSG00000077152,3.14263804283154,9.78594434892082e-67,29089,UBE2T,P,1.18975325124869,2.42,0.644234895706177,,,,,,,,,,,,,,,,,,,1.03508853143377,1.07,0.644234895706177,,,,0.88478821372629,0.8,0.644234895706177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17473143177829,0.16,0.644234895706177,,,,,,,,,,1.60462120072806,3.29,0.644234895706177,,,,1.10243540813266,1.44,0.644234895706177,0.997961852425546,0.66,0.644234895706177,,,,,,,1.34262702264619,7.0,0.644234895706177,2.00358993743397,3.8,0.644234895706177,0.972461006213315,0.83,0.644234895706177,,,,1.49236730149035,8.14,0.644234895706177,1.69321991551585,10.01,0.644234895706177,0.696085443548993,3.17,0.644234895706177,0.768720677825105,0.18,0.644234895706177,,,,0.911166121063341,2.23,0.644234895706177,1.25167822981882,4.54,0.644234895706177,1.6005304846259,7.57,0.644234895706177,0.669120292324068,2.12,0.644234895706177,1.91116612106334,3.67,0.644234895706177
ENSG00000158402,3.56202102907156,6.13387042288362e-66,995,CDC25C,P,1.57165435688967,11.32,0.298294872045517,,,,1.38552115953985,6.13,0.298294872045517,,,,,,,,,,,,,1.68655115520383,9.35,0.298294872045517,,,,1.78242836277412,9.97,0.298294872045517,,,,,,,,,,,,,0.386929728206144,0.12,0.298294872045517,,,,,,,,,,,,,,,,,,,,,,,,,2.7632577821236,1.9,0.298294872045517,,,,,,,1.28745456933185,0.35,0.298294872045517,,,,,,,4.40671045860979,2.05,0.298294872045517,,,,,,,,,,0.602912050620116,0.32,0.298294872045517,,,,,,,0.568113205793134,1.46,0.298294872045517,1.35594414737675,1.41,0.298294872045517,0.662026395332904,0.37,0.298294872045517,,,,0.807482595835994,2.95,0.298294872045517,0.694566044394904,1.55,0.298294872045517,0.387511057554502,1.89,0.298294872045517,,,,1.45488742329388,1.51,0.298294872045517,1.17908080903878,3.25,0.298294872045517,0.484608091802183,0.61,0.298294872045517,0.427663131661825,1.01,0.298294872045517,1.43822751005585,7.94,0.298294872045517,,,
ENSG00000131747,3.6464609958785,8.98560266101385e-65,7153,TOP2A,P,2.09921442069658,16.16,0.626627504825592,,,,1.56660436415303,7.39,0.626627504825592,,,,,,,,,,,,,1.81564585158329,9.96,0.626627504825592,,,,1.70084674632587,9.59,0.626627504825592,,,,,,,,,,0.954157395380865,0.09,0.626627504825592,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7632577821236,1.9,0.626627504825592,,,,,,,,,,,,,,,,,,,,,,,,,0.57785729893315,0.23,0.626627504825592,0.830945478073071,0.41,0.626627504825592,,,,,,,1.63659516382269,9.76,0.626627504825592,0.818550842226698,0.6,0.626627504825592,1.36138747982313,1.43,0.626627504825592,,,,1.19292715927449,5.48,0.626627504825592,1.23762410112277,5.12,0.626627504825592,1.01985492942507,4.84,0.626627504825592,,,,,,,1.51909315827405,4.98,0.626627504825592,1.16566230793815,4.02,0.626627504825592,1.35710484601482,5.4,0.626627504825592,1.77934460201706,11.23,0.626627504825592,,,
