gene_ID,gene_length
1,1488
2,4425
9,1059
10,873
12,1347
13,1200
14,1308
15,759
16,2907
18,1548
19,6786
20,7311
21,5115
22,2262
23,2538
24,6822
25,3450
27,3549
29,2580
30,1275
31,7152
32,7377
33,1293
34,1365
35,1239
36,1299
37,2037
38,1284
39,1281
43,1854
47,3306
48,2670
49,1266
50,2418
51,1983
52,477
53,1272
54,978
55,1257
56,798
58,1134
59,1134
60,1128
70,1134
71,1152
72,1131
81,2736
86,1290
87,2793
88,2685
90,1530
91,1641
92,1542
93,1539
94,1554
95,1497
97,390
98,300
100,1092
101,2475
102,2247
103,3810
104,2226
105,2220
107,3360
108,3276
109,3435
111,3786
112,3507
113,3243
114,3756
115,4062
116,531
117,1575
118,2307
119,2181
120,2121
123,1314
124,1128
125,1128
127,1200
128,1125
130,1128
131,1185
132,1089
133,558
134,981
135,1239
136,999
140,1044
141,1074
142,3045
143,5175
146,1719
147,1563
148,1428
150,1398
151,1344
152,1389
153,1434
154,1242
155,1227
156,2070
157,2067
158,1497
159,1371
160,2934
161,2823
162,2850
163,2856
164,2538
165,3477
166,795
167,750
173,1800
174,1869
175,1041
176,7593
177,1308
178,4599
181,399
182,3657
183,1458
185,1080
186,1092
187,1143
189,1179
190,1413
191,1299
196,2547
197,1107
199,486
202,5172
203,633
204,720
205,672
207,1443
208,1446
210,993
211,1923
212,1764
213,1830
214,1752
215,2238
216,1506
217,1554
218,1362
219,1554
220,1539
222,1158
223,1557
224,1527
225,2223
226,1257
229,1095
230,1095
231,951
238,4863
239,1992
240,2025
241,486
242,2106
244,984
246,2055
247,2031
248,1587
249,1575
250,1608
251,1599
257,1032
258,1344
259,1059
262,1005
265,618
266,621
267,1932
268,1683
269,1722
270,2343
271,2640
272,2331
273,2088
274,1782
275,1212
276,1536
277,1536
278,1536
279,1536
280,1536
283,444
284,1497
285,1491
286,5718
287,11874
288,13134
290,2904
291,897
292,897
293,897
301,1041
302,1074
306,972
307,966
308,963
309,2022
310,1467
311,1518
312,1074
313,1992
314,2271
316,4017
317,3747
318,444
319,981
320,2514
321,2250
322,2133
323,2280
324,8532
325,672
326,1638
327,2214
328,957
329,1857
330,1815
331,1494
332,498
333,1956
334,2292
335,804
336,303
337,1191
338,13692
339,711
341,390
343,786
344,306
345,354
346,537
347,646
348,954
350,1038
351,2313
353,543
354,788
355,1008
356,846
357,4851
358,990
359,816
360,879
361,972
362,798
363,849
364,1029
366,888
367,2763
368,4512
369,1821
372,1659
373,1725
374,825
375,546
377,633
378,543
379,606
381,543
382,528
383,993
384,1065
387,582
388,591
389,687
390,735
391,576
392,1320
393,2961
394,4509
395,2925
396,748
397,606
398,678
399,576
400,585
401,855
402,555
403,549
405,2370
406,1881
407,1167
408,1257
409,1293
410,1530
411,1602
412,1752
414,1782
415,1845
416,1773
417,984
419,1170
420,945
421,2889
427,1236
429,711
430,582
432,876
433,936
434,399
435,1395
438,1122
439,1047
440,1686
443,942
444,2277
445,1239
460,3909
462,1395
463,11112
466,816
467,546
468,1056
471,1779
472,9171
473,4701
474,1065
475,222
476,3072
477,3063
478,3680
479,3138
480,3090
481,912
482,873
483,840
486,201
487,3006
488,3129
489,3159
490,3663
491,3732
492,3663
493,3618
495,3108
496,876
498,1662
501,1620
506,1590
509,897
513,507
514,156
515,771
516,411
517,597
518,429
521,210
522,360
523,1854
525,1542
526,1536
527,468
528,1149
529,681
533,786
534,357
535,2517
537,1413
538,4503
539,642
540,4398
545,7935
546,7479
547,5376
549,1020
550,1233
551,495
552,1257
553,1275
554,1116
558,2685
563,897
566,756
567,369
570,1257
571,2211
572,507
573,1038
575,4755
576,4758
577,4569
578,636
579,1002
580,2334
581,657
582,1782
583,2166
585,1584
586,1197
587,1338
590,1809
593,1440
594,1179
595,888
596,720
597,528
598,702
599,582
602,1365
604,2121
605,696
607,4281
608,555
610,2670
611,1047
613,3816
617,1260
622,1032
623,1062
624,1176
627,990
629,3801
631,1998
632,303
633,1107
634,1581
635,1221
636,2928
637,726
638,483
639,2478
640,1518
641,4254
642,1368
643,1119
644,891
645,621
646,2985
648,981
649,2961
650,1191
651,1419
652,1227
653,1365
654,1542
655,1296
656,1209
657,1599
658,1599
659,3117
660,2028
661,1197
662,816
663,1308
664,585
665,660
666,639
667,23253
668,1131
669,780
670,876
671,1464
672,5655
673,2301
675,10257
676,2844
677,1017
678,1485
680,1200
682,1158
683,1002
684,543
685,537
686,1638
687,735
688,1374
689,621
694,516
695,1980
696,1581
699,3258
701,3195
705,1314
706,510
708,849
710,1632
712,738
713,762
714,738
715,2007
716,2067
717,2259
718,4992
719,1449
720,5235
721,5235
722,1794
725,759
726,2043
727,5031
728,1053
729,2805
730,2532
731,1755
732,1776
733,609
734,1650
735,1680
740,501
741,1212
744,885
747,3129
750,354
752,3315
754,543
755,1128
757,477
758,1080
759,786
760,783
761,783
